Batch,H,W,C,K,R,S,,Max mem. (MB),Forward time (s),Backward time (s),Act. count,Param Count,Total FLOPs,Offset FLOPs
1,64,64,512,512,1,1,,35.0205078125,0.00033663599970168434,0.008450348999758717,2230272,262656,1141899264,0
1,64,64,512,512,2,2,,48.53466796875,0.0010675510002329247,0.006045052999979816,2163200,1049088,4430233600,0
1,64,64,512,512,3,3,,122.0048828125,0.002309542998773395,0.0031770300010975916,2097152,2359808,9663676416,0
1,64,64,512,512,4,4,,63.5400390625,0.004204688999379869,0.007237765999889234,2032128,4194816,16647192576,0
1,64,64,512,512,5,5,,769.5830078125,0.006764685000234749,0.010011128999394714,1968128,6554112,25192038400,0
1,64,64,512,512,6,6,,102.6103515625,0.009531187000902719,0.01240129299912951,1905152,9437696,35115761664,0
1,64,64,512,512,7,7,,130.1630859375,0.012750640000376734,0.012522824999905424,1843200,12845568,46242201600,0
1,64,64,512,512,8,8,,157.7275390625,0.016290297000523424,0.015732366000520415,1782272,16777728,58401488896,0
1,64,64,512,512,9,9,,193.3037109375,0.020785720998901525,0.018773904001136543,1722368,21234176,71430045696,0
1,64,64,512,512,10,10,,228.8916015625,0.027236423000431387,0.022175047000928316,1663488,26214912,85170585600,0
1,64,64,512,512,11,11,,272.4912109375,0.033816764000221156,0.025745244000063394,1605632,31719936,99472113664,0
2,64,64,512,512,1,1,,70.0048828125,0.0007420340007229242,0.012201509000078659,4460544,262656,2283798528,0
2,64,64,512,512,2,2,,89.03857421875,0.002062178999040043,0.004479733999687596,4326400,1049088,8860467200,0
2,64,64,512,512,3,3,,190.0048828125,0.00632743899950583,0.010872863998883986,4194304,2359808,19327352832,0
2,64,64,512,512,4,4,,96.0048828125,0.007890617000157363,0.010678271000870154,4064256,4194816,33294385152,0
2,64,64,512,512,5,5,,802.5673828125,0.011339120999764418,0.014064385000892798,3936256,6554112,50384076800,0
2,64,64,512,512,6,6,,133.0751953125,0.013881961000151932,0.02071943999908399,3810304,9437696,70231523328,0
2,64,64,512,512,7,7,,160.1298828125,0.017526969000755344,0.026940177000142285,3686400,12845568,92484403200,0
2,64,64,512,512,8,8,,188.0048828125,0.02622577300098783,0.03220009399956325,3564544,16777728,116802977792,0
2,64,64,512,512,9,9,,224.0048828125,0.03577693199986243,0.03922591700029443,3444736,21234176,142860091392,0
2,64,64,512,512,10,10,,257.3876953125,0.04634746199917572,0.04586815100083186,3326976,26214912,170341171200,0
2,64,64,512,512,11,11,,300.5048828125,0.05783378599880962,0.05356315500102937,3211264,31719936,198944227328,0
4,64,64,512,512,1,1,,134.0673828125,0.0012152529998274986,0.018743081000138773,8921088,262656,4567597056,0
4,64,64,512,512,2,2,,172.03076171875,0.00364227799946093,0.014577933001419296,8652800,1049088,17720934400,0
4,64,64,512,512,3,3,,326.0048828125,0.00554437400023744,0.014423820999581949,8388608,2359808,38654705664,0
4,64,64,512,512,4,4,,192.03076171875,0.013615156000014395,0.024518999000065378,8128512,4194816,66588770304,0
4,64,64,512,512,5,5,,861.6298828125,0.018164000000979286,0.027138400999319856,7872512,6554112,100768153600,0
4,64,64,512,512,6,6,,196.0048828125,0.02480162699976063,0.042448486001376295,7620608,9437696,140463046656,0
4,64,64,512,512,7,7,,220.2548828125,0.034336444001382915,0.05446971299897996,7372800,12845568,184968806400,0
4,64,64,512,512,8,8,,248.0048828125,0.051605069000288495,0.06385297999986506,7129088,16777728,233605955584,0
4,64,64,512,512,9,9,,280.5673828125,0.06952499500039266,0.07591389600020193,6889472,21234176,285720182784,0
4,64,64,512,512,10,10,,316.0048828125,0.08554715599893825,0.09041757900013181,6653952,26214912,340682342400,0
4,64,64,512,512,11,11,,357.0048828125,0.10661335199984023,0.1056674439987546,6422528,31719936,397888454656,0
8,64,64,512,512,1,1,,266.1298828125,0.002300034000654705,0.028441122998628998,17842176,262656,9135194112,0
8,64,64,512,512,2,2,,332.06201171875,0.00695879099839658,0.02811712900074781,17305600,1049088,35441868800,0
8,64,64,512,512,3,3,,877.0048828125,0.014373759999216418,0.027905683000426507,16777216,2359808,77309411328,0
8,64,64,512,512,4,4,,348.06201171875,0.024529869999241782,0.04655968400038546,16257024,4194816,133177540608,0
8,64,64,512,512,5,5,,1120.1298828125,0.034135519999836106,0.03402294799889205,15745024,6554112,201536307200,0
8,64,64,512,512,6,6,,316.3564453125,0.04952285000035772,0.08543921499949647,15241216,9437696,280926093312,0
8,64,64,512,512,7,7,,340.6005859375,0.06823452200114843,0.09685102799994638,14745600,12845568,369937612800,0
8,64,64,512,512,8,8,,364.9111328125,0.09982867399958195,0.11398125099913159,14258176,16777728,467211911168,0
8,64,64,512,512,9,9,,397.2880859375,0.13312104900069244,0.1355902649993368,13778944,21234176,571440365568,0
8,64,64,512,512,10,10,,429.7314453125,0.16966347400011728,0.15452960200127563,13307904,26214912,681364684800,0
8,64,64,512,512,11,11,,472.2412109375,0.2100883929997508,0.17742577100034396,12845056,31719936,795776909312,0
16,64,64,512,512,1,1,,530.2548828125,0.004434974000105285,0.05019484200056468,35684352,262656,18270388224,0
16,64,64,512,512,2,2,,656.09326171875,0.013817258999551996,0.05451424400052929,34611200,1049088,70883737600,0
16,64,64,512,512,3,3,,1142.0048828125,0.009817622998525621,0.050813774001653655,33554432,2359808,154618822656,0
16,64,64,512,512,4,4,,1744.0673828125,0.048514800999328145,0.08337610499984294,32514048,4194816,266355081216,0
16,64,64,512,512,5,5,,1368.2548828125,0.011501926001074025,0.05329652000000351,31490048,6554112,403072614400,0
16,64,64,512,512,6,6,,1748.5673828125,0.0997714619988983,0.11361138100073731,30482432,9437696,561852186624,0
16,64,64,512,512,7,7,,1755.0048828125,0.13297804600006202,0.13159433000146237,29491200,12845568,739875225600,0
16,64,64,512,512,8,8,,1761.5673828125,0.1979356949996145,0.1498974320002162,28516352,16777728,934423822336,0
16,64,64,512,512,9,9,,1774.0048828125,0.26386690299841575,0.17209614000057627,27557888,21234176,1142880731136,0
16,64,64,512,512,10,10,,1784.0048828125,0.3399346179994609,0.19172754800092662,26615808,26214912,1362729369600,0
16,64,64,512,512,11,11,,1798.0048828125,0.41974764599945047,0.21268981200046255,25690112,31719936,1591553818624,0
32,64,64,512,512,1,1,,1058.5048828125,0.009245224000551389,0.09472849699886865,71368704,262656,36540776448,0
32,64,64,512,512,2,2,,1884.064453125,0.03682278099950054,0.107848734000072,69222400,1049088,141767475200,0
32,64,64,512,512,3,3,,2230.0048828125,0.018851905000701663,0.09913290899930871,67108864,2359808,309237645312,0
32,64,64,512,512,4,4,,2384.1298828125,0.036924523001289344,0.15167872599886323,65028096,4194816,532710162432,0
32,64,64,512,512,5,5,,2540.5048828125,0.021056014998976025,0.10325542700047663,62980096,6554112,806145228800,0
32,64,64,512,512,6,6,,2373.1298828125,0.036960622999686166,0.2114106660010293,60964864,9437696,1123704373248,0
