Batch,H,W,C,K,R,S,,Max mem. (MB),Forward time (s),Backward time (s),Act. count,Param Count,Total FLOPs,Offset FLOPs
1,64,64,512,512,1,1,,52.125,0.0003396360007172916,0.018079261999446317,8712,264194,0,4460544
1,64,64,512,512,2,2,,108.90576171875,0.0010357089995522983,0.005051354999523028,33800,1081352,0,69222400
1,64,64,512,512,3,3,,195.21240234375,0.0018836849994841032,0.00667569600045681,73728,2525202,0,339738624
1,64,64,512,512,4,4,,2172.4853515625,0.021936733999609714,0.006976091000979068,127008,4718624,0,1040449536
1,64,64,512,512,5,5,,464.3818359375,0.005850309999004821,0.014708889000758063,192200,7833650,0,2460160000
1,64,64,512,512,6,6,,639.57373046875,0.008711504000530113,0.013568927000960684,267912,12091464,0,4938153984
1,64,64,512,512,7,7,,839.5908203125,0.011782372999732615,0.016271287999188644,352800,17762402,0,8851046400
1,64,64,512,512,8,8,,1065.01220703125,0.015161077000811929,0.022907254000529065,445568,25165952,0,14600372224
1,64,64,512,512,9,9,,1312.70458984375,0.02082568399964657,0.026120554999579326,544968,34670754,0,22600912896
1,64,64,512,512,10,10,,1583.5009765625,0.02802763900035643,0.03605565200086858,649800,46694600,0,33269760000
1,64,64,512,512,11,11,,1877.13916015625,0.03502448200015351,0.04205202499906591,758912,61704434,0,47016116224
2,64,64,512,512,1,1,,124.1767578125,0.0005645809997076867,0.019810664000033285,17424,264194,0,8921088
2,64,64,512,512,2,2,,222.21875,0.003557587999239331,0.010368466000727494,67600,1081352,0,138444800
2,64,64,512,512,3,3,,387.79052734375,0.0036917790002917172,0.010837956000614213,147456,2525202,0,679477248
2,64,64,512,512,4,4,,611.103515625,0.008362116999705904,0.01253306699982204,254016,4718624,0,2080899072
2,64,64,512,512,5,5,,889.86328125,0.010695462000512634,0.01692023100076767,384400,7833650,0,4920320000
2,64,64,512,512,6,6,,1209.849609375,0.016939061000812217,0.023629755998626933,535824,12091464,0,9876307968
2,64,64,512,512,7,7,,1577.3583984375,0.024199908000809955,0.03085202199872583,705600,17762402,0,17702092800
2,64,64,512,512,8,8,,1980.5224609375,0.030872301998897456,0.038441597000201,891136,25165952,0,29200744448
2,64,64,512,512,9,9,,2424.40673828125,0.04152416400029324,0.05119559800004936,1089936,34670754,0,45201825792
2,64,64,512,512,10,10,,2900.01708984375,0.05184125999949174,0.0629563499987853,1299600,46694600,0,66539520000
2,64,64,512,512,11,11,,3403.85595703125,0.05836037200060673,0.07614227799967921,1517824,61704434,0,94032232448
4,64,64,512,512,1,1,,236.4990234375,0.0010308189994248096,0.0277635239999654,34848,264194,0,17842176
4,64,64,512,512,2,2,,438.2939453125,0.0037312600015866337,0.015899500998784788,135200,1081352,0,276889600
4,64,64,512,512,3,3,,756.94677734375,0.007768796000164002,0.021167090000744793,294912,2525202,0,1358954496
4,64,64,512,512,4,4,,1187.3359375,0.015148746999329887,0.03107848699983151,508032,4718624,0,4161798144
4,64,64,512,512,5,5,,1717.4658203125,0.021201919998929952,0.039291343000513734,768800,7833650,0,9840640000
4,64,64,512,512,6,6,,2336.4931640625,0.03270892900036415,0.060232887999518425,1071648,12091464,0,19752615936
4,64,64,512,512,7,7,,3033.2060546875,0.045132152999940445,0.06663065899920184,1411200,17762402,0,35404185600
4,64,64,512,512,8,8,,3801.84765625,0.05286367799999425,0.08163322399923345,1782272,25165952,0,58401488896
4,64,64,512,512,9,9,,4632.091796875,0.0854108029998315,0.10487415200077521,2179872,34670754,0,90403651584
4,64,64,512,512,10,10,,5517.9970703125,0.10439900299934379,0.1287777929992444,2599200,46694600,0,133079040000
4,64,64,512,512,11,11,,6449.1298828125,0.12029554299988376,0.1517037169996911,3035648,61704434,0,188064464896
8,64,64,512,512,1,1,,470.9873046875,0.0021568600004684413,0.0377901350002503,69696,264194,0,35684352
8,64,64,512,512,2,2,,865.44384765625,0.007712026999797672,0.031118446999244043,270400,1081352,0,553779200
8,64,64,512,512,3,3,,1495.25927734375,0.015017453999462305,0.04227421700124978,589824,2525202,0,2717908992
8,64,64,512,512,4,4,,2687.87646484375,0.04803711699969426,0.056152709999878425,1016064,4718624,0,8323596288
8,64,64,512,512,5,5,,3379.9208984375,0.03967641000053845,0.0727325629995903,1537600,7833650,0,19681280000
8,64,64,512,512,6,6,,4589.0146484375,0.0666418889995839,0.109690651001074,2143296,12091464,0,39505231872
8,64,64,512,512,7,7,,5948.65234375,0.09148760800053424,0.13651853900046262,2822400,17762402,0,70808371200
8,64,64,512,512,8,8,,7442.87744140625,0.10888577500008978,0.173309263000192,3564544,25165952,0,116802977792
8,64,64,512,512,9,9,,9050.05517578125,0.16563605800001824,0.22382783600005496,4359744,34670754,0,180807303168
8,64,64,512,512,10,10,,10753.35400390625,0.20700337800008128,0.2860678929991991,5198400,46694600,0,266158080000
8,64,64,512,512,11,11,,12543.2578125,0.2413553669994144,0.31547086799946555,6071296,61704434,0,376128929792
16,64,64,512,512,1,1,,939.9638671875,0.004630516999895917,0.06174751499929698,139392,264194,0,71368704
16,64,64,512,512,2,2,,1720.8544921875,0.015406519998578005,0.062410088001342956,540800,1081352,0,1107558400
16,64,64,512,512,3,3,,2971.88427734375,0.032510584000192466,0.0823926749999373,1179648,2525202,0,5435817984
16,64,64,512,512,4,4,,4646.841796875,0.08110327099893766,0.11423679600011383,2032128,4718624,0,16647192576
16,64,64,512,512,5,5,,6703.9560546875,0.08357500700003584,0.15229209400058608,3075200,7833650,0,39362560000
16,64,64,512,512,6,6,,9092.15185546875,0.11890108500119823,0.21223912499954167,4286592,12091464,0,79010463744
16,64,64,512,512,7,7,,11780.01220703125,0.15298221699958958,0.2596105789998546,5644800,17762402,0,141616742400
16,64,64,512,512,8,8,,14721.75341796875,0.2364721930007363,0.33484854999915115,7129088,25165952,0,233605955584
32,64,64,512,512,1,1,,1878.6044921875,0.009219354000379099,0.10414647400102695,278784,264194,0,142737408
32,64,64,512,512,2,2,,3433.58203125,0.035629721998702735,0.12491189499996835,1081600,1081352,0,2215116800
32,64,64,512,512,3,3,,5925.13427734375,0.07376215200019942,0.17938872299964714,2359296,2525202,0,10871635968
32,64,64,512,512,4,4,,9261.177734375,0.1591188720012724,0.25181240900019475,4064256,4718624,0,33294385152
32,64,64,512,512,5,5,,13349.0654296875,0.16412059600042994,0.35473845100023027,6150400,7833650,0,78725120000
64,64,64,512,512,1,1,,3754.26318359375,0.018209223000667407,0.20222144299987121,557568,264194,0,285474816
64,64,64,512,512,2,2,,6859.88037109375,0.06852088300001924,0.2465236879997974,2163200,1081352,0,4430233600
64,64,64,512,512,3,3,,11831.63427734375,0.1563978069989389,0.34396642400133715,4718592,2525202,0,21743271936
128,64,64,512,512,1,1,,5873.08056640625,0.03986304200043378,0.3951315650010656,1115136,264194,0,570949632
